Code,Main Category,Name,Main Category Code,Main Category Name
0,101,APRON,101,ACCESSORIES
1,101,ASCOT,102,HEADWARE
3,101,BELT,103,OUTERWEAR
6,101,BOWTIE,104,TOP
11,101,GLOVES,105,BOTTOM
14,101,LAPEL,,
15,101,NAMETAG,,
18,101,SCARF,,
27,101,TIE,,
25,101,SUSPENDERS,,
2,102,BEANIE,,
12,102,HAT,,
7,102,CAP,,
34,103,JACKET,,
35,103,SYSTEM,,
36,103,1/4 ZIP,,
37,103,WIND BREAKER,,
9,103,COAT,,
32,103,THREE LAYERS,,
33,103,PONCHO,,
4,104,BLAZER,,
5,104,BLOUSE,,
17,104,POLO,,
19,104,SHIRT,,
8,104,CARDIGAN,,
10,104,DRESS,,
26,104,SWEATER,,
28,104,TUNIC,,
29,104,VEST,,
31,104,PULLOVER,,
38,104,T-SHIRT,,
16,105,PANT,,
30,105,COVERALL,,
22,105,SHORT,,
23,105,SKIRT,,
24,105,SKORT,,